problem_id,w
ABC392,0.8928571428571429
ABC392,0.8928571428571429
ABC392,1.130952380952381
ABC393,0.7142857142857143
ABC393,0.7142857142857143
ABC393,0.9523809523809523
ABC394,0.23809523809523808
ABC394,0.11904761904761904
ABC394,0.47619047619047616
ABC395,1.0714285714285714
ABC395,0.9523809523809523
ABC395,0.9523809523809523
ABC396,1.5476190476190477
ABC396,1.4285714285714286
ABC396,1.6666666666666667
ABC397,0.9523809523809523
ABC397,0.9523809523809523
ABC397,1.5476190476190477
ABC398,0.5952380952380952
ABC398,0.47619047619047616
ABC398,0.8333333333333334
ABC399,0.5952380952380952
ABC399,0.23809523809523808
ABC399,0.11904761904761904
ABC400,0.5357142857142857
ABC400,1.0119047619047619
ABC400,0.6547619047619048
ABC401,0.6547619047619048
ABC401,1.25
ABC401,0.7738095238095238
ABC402,0.35714285714285715
ABC402,0.8333333333333334
ABC402,0.11904761904761904
ABC403,0.4166666666666667
ABC403,1.0119047619047619
ABC403,0.4166666666666667
ABC404,0.8333333333333334
ABC404,1.5476190476190477
ABC404,1.0714285714285714
ABC405,1.6071428571428572
ABC405,1.7261904761904763
ABC405,1.4880952380952381
ABC406,1.5476190476190477
ABC406,1.7857142857142858
ABC406,1.5476190476190477
ABC407,1.4285714285714286
ABC407,1.9047619047619047
ABC407,1.5476190476190477
ABC408,1.4285714285714286
ABC408,1.9047619047619047
ABC408,1.5476190476190477
ABC409,1.3095238095238095
ABC409,1.7857142857142858
ABC409,1.5476190476190477
ABC410,0.47619047619047616
ABC410,0.8333333333333334
ABC410,0.23809523809523808
ABC411,0.11904761904761904
ABC411,0.5952380952380952
ABC411,0.35714285714285715
ABC412,0.23809523809523808
ABC412,0.7142857142857143
ABC412,0.47619047619047616
ABC413,0.7142857142857143
ABC413,1.0714285714285714
ABC413,0.7142857142857143
ABC414,0.5952380952380952
ABC414,0.7142857142857143
ABC414,0.7142857142857143
ABC415,0.8333333333333334
ABC415,0.8333333333333334
ABC415,0.9523809523809523
ABC416,1.5476190476190477
ABC416,1.7857142857142858
ABC416,1.3095238095238095
ABC417,1.0714285714285714
ABC417,1.1904761904761905
ABC417,1.3095238095238095
ABC418,1.369047619047619
ABC418,1.369047619047619
ABC418,1.25
ABC419,1.4285714285714286
ABC419,1.5476190476190477
ABC419,1.3095238095238095
ABC420,1.4285714285714286
ABC420,1.3095238095238095
ABC420,1.1904761904761905
ABC421,1.1904761904761905
ABC421,0.8333333333333334
ABC421,0.7142857142857143
