track,CoT,CoT,baseline,baseline,feedback,feedback
model,Llama-3.1-8B-Instruct,deepseek-coder-7b-instruct-v1.5,Llama-3.1-8B-Instruct,deepseek-coder-7b-instruct-v1.5,Llama-3.1-8B-Instruct,deepseek-coder-7b-instruct-v1.5
problem_id,,,,,,
ABC406,0.41,0.75,0.27,0.79,0.42,1.0
ABC407,0.41,0.3,0.38,0.15,0.6,0.76
ABC416,0.62,0.99,0.62,1.0,0.92,1.0
ABC405,0.99,0.71,0.98,0.83,1.0,0.95
ABC395,0.98,1.0,0.98,1.0,1.0,1.0
ABC396,0.98,0.99,0.98,0.99,0.99,1.0
ABC408,0.2099999999999999,0.1999999999999999,0.49,0.1999999999999999,0.6799999999999999,0.42
ABC419,0.98,1.0,1.0,1.0,1.0,1.0
ABC420,0.3299999999999999,0.73,0.25,0.74,0.53,0.91
ABC409,0.83,0.8200000000000001,0.75,0.54,0.96,0.86
ABC418,0.89,0.91,0.83,0.91,0.9,0.99
ABC417,0.53,0.72,0.72,0.76,0.88,0.97
ABC404,0.0,0.0,0.0,0.0,0.0,0.0
ABC397,1.0,1.0,1.0,1.0,1.0,1.0
ABC392,0.72,0.81,0.72,0.81,0.94,0.79
ABC415,0.98,1.0,0.0,1.0,1.0,1.0
ABC421,0.01,0.69,0.0,0.5,0.01,0.72
ABC413,1.0,1.0,1.0,1.0,1.0,1.0
ABC414,0.29,0.0,0.0699999999999999,0.0,0.1999999999999999,0.0899999999999999
ABC393,0.5800000000000001,0.01,0.5800000000000001,0.01,0.5900000000000001,0.13
ABC400,0.5,0.4399999999999999,0.6599999999999999,0.8,0.85,0.87
ABC401,1.0,1.0,1.0,1.0,1.0,1.0
ABC398,0.0,0.03,0.0,0.03,0.1099999999999999,0.0699999999999999
ABC403,0.6699999999999999,0.17,0.8,0.05,1.0,0.4599999999999999
ABC394,0.69,0.9,0.69,0.9,0.92,1.0
ABC399,1.0,1.0,1.0,1.0,1.0,1.0
ABC412,0.95,1.0,0.84,1.0,0.88,1.0
ABC410,0.36,0.5900000000000001,0.24,0.53,0.5700000000000001,0.8
ABC402,0.0,1.0,1.0,1.0,1.0,1.0
ABC411,0.99,1.0,0.97,1.0,0.99,1.0
